,unemployment,coincident,leading_price,ESI,export_price,current_account,GDP,land_price_change,CCSI,manufacturing_capacity_utilization,us_policy_rate,kosdaq_index,capital_account,us_industrial_production,us_consumer_sentiment,us_CPI,economic_growth_rate,interest_rate,pred,datetime
54,3.1,100.8,99.9,96.7,123.24,8375.5,416979.0,0.065,99.0,110.4,0.125,467.61,-5.5,0.2,72.3,1.7,0.4,3.0,3.04568,12-Jul
55,3.0,100.1,99.6,95.1,123.2,1618.0,416979.0,0.032,100.0,100.3,0.125,508.35,-1.9,-0.4,74.3,1.7,0.4,3.0,3.03807,12-Aug
56,2.9,100.0,99.3,93.9,123.39,6484.3,416979.0,0.024,98.0,106.9,0.125,523.78,-1.6,-0.1,78.3,1.7,0.4,3.0,3.02773,12-Sep
57,2.8,99.7,99.2,91.8,120.79,7287.6,439689.0,0.059,99.0,111.4,0.125,508.31,-4.9,0.3,82.6,1.9,0.7,2.75,2.77054,12-Oct
58,2.8,100.0,99.3,91.0,117.48,8187.5,439689.0,0.067,99.0,114.4,0.125,499.37,0.7,0.4,82.7,1.9,0.7,2.75,2.77001,12-Nov
59,2.9,100.2,99.4,91.7,116.6,7189.4,439689.0,0.082,98.0,109.1,0.125,496.32,-2.6,0.3,72.9,1.9,0.7,2.75,2.77256,12-Dec
60,3.4,100.1,99.4,94.9,116.53,2752.4,410140.0,0.031,102.0,112.3,0.125,503.67,-8.0,0.0,73.8,1.7,0.8,2.75,2.74532,13-Jan
61,3.9,100.1,99.4,96.9,119.37,2212.5,410140.0,0.066,101.0,96.4,0.125,535.87,-2.9,0.5,77.6,1.7,0.8,2.75,2.76176,13-Feb
62,3.5,99.7,99.4,98.9,119.68,6740.2,410140.0,0.109,104.0,110.4,0.125,555.02,8.2,0.4,78.6,1.7,0.8,2.75,2.82875,13-Mar
63,3.2,99.8,99.5,98.6,120.39,5039.9,432419.0,0.132,102.0,111.2,0.125,563.87,-1.6,-0.1,76.4,1.4,1.1,2.75,2.83677,13-Apr
64,3.0,99.7,99.5,97.9,119.35,9608.2,432419.0,0.13,104.0,112.9,0.125,577.87,-11.0,0.1,84.5,1.4,1.1,2.5,2.61582,13-May
65,3.1,99.9,99.7,97.0,122.39,6824.8,432419.0,0.105,105.0,109.4,0.125,519.06,-14.9,0.2,84.1,1.4,1.1,2.5,2.4963,13-Jun
66,3.1,99.8,99.8,96.2,121.3,6964.6,432357.0,0.019,105.0,107.4,0.125,554.31,1.1,-0.3,85.1,1.6,1.0,2.5,2.5083,13-Jul
67,3.0,99.8,99.8,96.1,120.51,6389.3,432357.0,0.001,105.0,103.0,0.125,516.74,18.2,0.6,82.1,1.6,1.0,2.5,2.5093,13-Aug
68,2.7,99.7,99.7,96.9,117.56,7847.7,432357.0,0.076,101.0,98.8,0.125,534.89,-6.5,0.5,77.5,1.6,1.0,2.5,2.53128,13-Sep
69,2.7,100.0,99.8,98.2,115.38,10724.0,457372.0,0.152,107.0,113.2,0.125,532.44,-2.0,-0.1,73.2,1.2,0.9,2.5,2.51983,13-Oct
70,2.6,100.0,99.8,98.6,114.49,5891.6,457372.0,0.156,108.0,111.5,0.125,517.06,0.0,0.3,75.1,1.2,0.9,2.5,2.45693,13-Nov
71,3.0,100.2,99.9,98.4,114.12,6263.7,457372.0,0.151,108.0,110.0,0.125,499.99,-7.6,0.2,82.5,1.2,0.9,2.5,2.51469,13-Dec
72,3.4,100.5,99.9,101.0,114.29,1837.7,425653.0,0.107,110.0,104.4,0.125,515.2,-3.0,-0.4,81.2,1.4,0.8,2.5,1.84448,14-Jan
73,4.5,100.5,99.9,103.2,115.05,4812.5,425653.0,0.142,109.0,99.5,0.125,528.96,3.5,0.8,81.6,1.4,0.8,2.5,2.52641,14-Feb
74,3.9,100.6,99.8,101.3,114.55,6182.8,425653.0,0.199,110.0,112.5,0.125,541.58,-2.6,1.0,80.0,1.4,0.8,2.5,2.50004,14-Mar
75,3.8,100.4,99.7,103.0,111.49,6875.5,447906.0,0.18,110.0,113.2,0.125,559.34,2.6,0.1,84.1,2.1,0.9,2.5,2.49881,14-Apr
76,3.5,100.0,99.5,101.2,109.71,9148.3,447906.0,0.152,105.0,108.6,0.125,546.53,-4.3,0.4,81.9,2.1,0.9,2.5,2.49996,14-May
77,3.5,100.0,99.5,97.8,109.59,7768.8,447906.0,0.148,108.0,108.0,0.125,537.06,-2.6,0.3,82.5,2.1,0.9,2.5,2.50069,14-Jun
78,3.4,100.0,99.3,96.0,109.95,6198.8,445193.0,0.168,106.0,112.1,0.125,536.32,-6.3,0.2,81.8,1.8,0.3,2.5,2.48504,14-Jul
79,3.3,100.0,99.4,98.3,110.14,6793.9,445193.0,0.138,108.0,98.6,0.125,570.2,11.2,-0.2,82.5,1.8,0.3,2.25,2.25216,14-Aug
80,3.1,99.7,99.6,101.1,109.85,7418.7,445193.0,0.186,108.0,101.1,0.125,573.22,-1.3,0.3,84.6,1.8,0.3,2.25,2.27028,14-Sep
81,3.2,99.3,99.6,96.3,110.65,8604.5,469223.0,0.202,106.0,108.9,0.125,558.7,-1.1,0.0,86.9,1.2,0.5,2.0,2.01343,14-Oct
82,3.0,99.0,99.7,97.8,111.95,10582.7,469223.0,0.159,103.0,106.7,0.125,545.08,-0.8,0.6,88.8,1.2,0.5,2.0,2.0042,14-Nov
83,3.3,99.3,99.7,96.6,109.1,6805.4,469223.0,0.166,102.0,110.8,0.125,542.97,-4.2,0.0,93.6,1.2,0.5,2.0,1.99691,14-Dec
84,3.7,99.3,100.0,98.5,104.4,7076.0,436985.0,0.143,103.0,104.2,0.125,591.58,-13.0,-0.8,98.1,-0.1,0.9,2.0,2.00364,15-Jan
85,4.5,99.7,100.2,103.1,105.78,6136.4,436985.0,0.149,104.0,92.9,0.125,624.56,-1.7,-0.6,95.4,-0.1,0.9,2.0,1.92541,15-Feb
86,4.0,99.3,100.4,101.3,106.77,9761.5,436985.0,0.186,102.0,108.2,0.125,650.49,-7.3,-0.3,93.0,-0.1,0.9,1.75,1.7275,15-Mar
87,3.9,99.2,100.5,103.7,104.81,7221.6,456539.0,0.197,105.0,107.3,0.125,689.01,-8.7,-0.6,95.9,0.0,0.4,1.75,1.76471,15-Apr
88,3.7,98.6,100.6,102.2,105.92,7958.8,456539.0,0.178,106.0,103.4,0.125,711.39,-1.6,-0.5,90.7,0.0,0.4,1.75,1.7124,15-May
89,3.8,98.5,100.5,91.6,107.14,11546.2,456539.0,0.212,99.0,108.1,0.125,742.27,-15.3,-0.3,96.1,0.0,0.4,1.5,1.51498,15-Jun
